ID,INHOUD1,DATERING
11553149,"Jan Clabbers en Petronella Gerrits e.l., Derck Peters en Jacomina Siberts e.l., Lauwrens Jans voor zich en zijn absente vrouw Anneke Peters, Jan Hermens en Maria Jans, zijn vrouw, Reijn Thonissen en Gertruijt Ebben e.l., Theodorus Thonissen en Metje Gerrits e.l., Arnoldus Thonissen en Hermina Hermens e.l., Adriaen Thonissen, meerderjarig j.m., Jan Thomassen en Gijsken Thonissen e.l. en Aart Hendrik Franssen weduwnaar van Jenixken Geurts, Theunisken Hendrik Franssen weduwe Peter Jacobs, Jenneken Hendrik Franssen weduwe Bastiaen Jacobs, Jan Hendrix Lemmen weduwnaar van Hendrina Hendrik Franssen, Grietjen Derck Brouwers weduwe van Frans Hendrik Franssen, Jacob Derx en Maria Jans e.l., Derck Reijnders, meerderjarig j.m. en Judith Reijnders, meerderjarige dochter, Jan Peter Cremers voor zich en voor zijn afwezige vrouw Gertruijt Ludolphs, Gerrit Peter Cremers voor zich en voor zijn vrouw Maria Roeffen, wegens haar indispositie alhier niet aanwezig, Leendert Hulsmans en Jenneke Peter Cremers e.l. en tenslotte Jan Roelofs gehuwd geweest met Hendrina Peter Cremers en nu hertrouwd met Maria Peters; laatstgenoemde wegens haar indispositie alhier niet aanwezig, respectievelijk erfgenamen van de weduwe Gerrit Reijnen te Utrecht overleden. De comparanten stellen zich borg voor de vermelde afwezigen. Comparanten hebben verkocht aan Johan Verzijl Controleur te Katwijk a/d Maas en Johanna van den Berg e.l.: de volgende percelen bouw-en weiland onder Klein-Linden n.l.: een hooi-of weikampke, genaamd het broekcampke; 2 lopen bouwland, genaamd de Galberg; 2 lopen bouwland genaamd den Peerboom; 2 lopen bouwland, genaamd het Lageveld; 4 lopen bouwland genaamd den Hitsberg voor de som van 300 guldens.",12-06-1742
11555296,"Gerrit Jans Ebben, weduwnaar van Maria Thomassen, geassisteerd met Gerrit Thomassen en Jan Thomassen als bloedmomboirs over zijn twee minderjarige kinderen, bruidegom, sluit een huwelijkscontract met Jenneke Hendriks, meerderjarig en ongehuwd, bruid. Zij wordt geassisteerd met haar broer Jacob Hendricks, bruid. Bepaald wordt o.a. dat indien de bruid voor de bruidegom en voor haar moeder (Maria Jans, weduwe van Hendrick Jacobs) overlijdt hij aan de moeder 25 gld. zal moeten uitkeren. Komt zij na haar moeder te overlijden dan zal hij de helft van de goederen die zij van haar moeder heeft geërfd moeten uitkeren aan haar erfgenamen.",18-06-1744
11559551,"Jan Eujen en Maria Tijssen echtelieden verklaren schuldig te zijn aan de Carmelieten alhier een kapitaal van zevenhonderd gulden met als speciaal onderpand hun huis en schuur, groot ongeveer 3½ morgen alhier grenzend o.a. Toon Sijmons, Willem Peters en de erfgenamen van Tomas Harrits; ongeveer drie morgen grenzend o.a. Jan Nab en de erfgenamen Jacob Huggers en nog een stuk land ongeveer 1¾ morgen grenzend o.a. Aert Nab en de erfgenamen Derk Ebben en als laatste een kamp, gedeeltelijk weiland, gedeeltelijk bouwland, groot ongeveer vier morgen grenzend o.a. Rein Gieben. In de kantlijn: deze schuld is op 7 januari 1769 vermeerderd met 100 gulden en deze schuld is geroijeerd is op 2 april 1798.",03-05-1763
11561382,"Jan Peters van Meuwen en zijn vrouw Geertruij Thonissen verkopen bouw- en weiland op de Spuell.",07.01.1699
11563912,"Lambertus Smits, borger van de stad ’s-Hertogenbosch voor zich en als gelaste van Johannes, Petrus en Wilhelmus Smits, zijn broers mede wonende te ’s-Hertogenbosch verkopen te Erp verscheidene percelen teul- groes- en hooiland te Erp.",12-12-1738
11564969,"Aart, mondige zoon van Antonij Hijmons en Maria Marte Dictese; Antonij Alars gehuwd met Annemie Antonij Hijmons; Aart Gerits van den Berg gehuwd met Antonetta Antonij Hijmons; Gerit Jan Claassen gehuwd met Maria Adriaan Huijbers Craanmeer, verwekt bij Elisabeth Antonij Hijmons; Jennemie Tonis van den Elsen weduwe van Hijmon Antonij Hijmons, als moeder en voogd over haar 5 onmondige kinderen, allen kinderen en kindskinderen van Antonij Hijmons en Maria Marte Dictese, wonende te Erp, Gemert en Beek en Donk verklaren, dat zij de nalatenschap gaan delen. Het betreft huis, schop, hof en aangelegen teul- en groesland in het Hurkxke, dries in de Laare; huis, schuur, hof en aangelegen teul- en groesland aan het Oudevelt, Nieuwland aan de Morsehoeve en roerende goederen.",16-11-1778
11570480,"Dirk van de Lande g.m. Willemijna Antonij Scheij",25-9-1781
11590724,"Voor genoemde schepenen verscheen Pouwels Bartholomeus en verkoopt nu aan Huibert Daniels Volder een stuk akkerland groot ca. 28 roedes, gelegen in deze heerlijkheid ter plaatse op de Herlaersche akkers, b.p. de erfgenamen van jonker Honselaer, de gemeenschappelijke mestweg, Frans Cornelis Roscam, het erf van de kerk van Gestel, zoals hij het perceel via ruil had verkregen voor schepenen van Frans Cornelis Roscam. De verkoper belooft de verkoop gestand te doen en alle lasten af te handelen. Actum 1 oktober 1654.",01-10-1654
11592391,"Borgbrief voor Maria Huijbert van den Hanenbergh, vertrekt naar ’s-Gravenhage.",04-01-1779
11605310,"Willem Verrosmoolen en Christina Janssen echtelieden hebben verkocht aan Hendrik van Langen en Henderina Martens echtelieden een huis, moeshof, boomgaarden bijgelegen bouwland grenzend oost Matthijs Lovendaal, zuid en west Roeloff Verrosmoolen.",25-05-1776
11611193,,24-11-1786
11612579,,17-12-1717
11616582,"Joerden Hanrick Aelberts zoen heeft geloeft als principael schulder te betaelen Catherijn Daniel Sichelmans dochter.",1548-1552
11617585,"Engelken weduwe Dirck Adriaenssen heeft bekent ende geleden dat sij van Claes Meussen van Erp voir een vijfte gedeelte van hondert gulden in minderinghe van eene schepenen schultbrieff die Hanrick Welten opte voornoemde Engelken was pretenderen, schellens oversulcx daer van quit ende allen anderen der schepenen quitende.",1613
11618673,"Jan soene wijlen Jan Wouters den auden ende Jan Jans Wouters den jonghen gebroederen, Marten Aert Dandels als man ende momboir van Anneken sijn huijsvrouwe, Henrick Henrick van Beest ende Peter Bastiaens als momboiren ende curateuren vande onbeiaerde kijnderen wijlen Laureijns Jan Wouters ende Aelcken zijn huijsvrouwe. Alle wittighe kijnderen ende erffgenaemen Jan Wouters Vergoeijendonck. Hebben vercooft aen Dandel Laureijnssen van Son een stuck teullandts gemeijnlijck genoempt de Muelenhoff, gelegen ter plaetse genoempt de Loeckstraet.",1630
11619720,"Handrick sone wijlen Anthonis Wouterssen een stuck erffve gelegen ter plaetse Vressel, hem vercoopere aengecomen ende bij coop vercregen tegens Nicolaes van Deurssen. Legitima etc. Jannen Anthoni Wouterssen sijnen broeder. Cijns in het boeck van Helmont.",1646
11620824,"Geraert soon wijlen Jan Goosen Adriaens het gerechte vierde gedeelte hem competerende inde helfte vande huijsinge met den halffve hoff, bomgaert ende poterij alsoo het selve is gepaelt etc. Heeft hij Geraert voor een gerechte vierde part vercocht aen ende ten behoeve van heere Johan Schoock.",1659
11624287,"Delis Mathijssen heeft vuijt crachte van testament tusschen hem ende Mariken dochtere Ariaen van Herentum sijne gewesen eerste huijsvrouwe. Een huijs, hoff met een acker teulants daer aen, gelegen, ter plaetse Veressel. Tusschen erffve Jan Thijssen aende eenen sijde ende eenen eijnde, ende metten anderen sijde de gemeijne straet, ende metten anderen eijnde aen erffve de Horssackers. Verder nog verschillende parcelen. Welcke parceelen hem vercoopere van sijne voorschreven eerste vrouwen ouders aengecomen, soo als hij seijde. Heeft hij vercofft aen Willem Janssen der Kijnderen.",1680
11625368,"Luijcas Vogels borger ende woonachter der stadt Delft, heeft uijt crachte der procuratie bij de eerbaere Maria Handrick Lamberts weduwe van wijlen Jan Vogels sjne moeder, een camp lants gelegen ter plaetse ontrent Varenhaudt? Vercofft aen Jan Gijsbert Driesse sijne neeve.",1693
11626558,"Mathijs Walraven woonende tot Oirschot als man ende momboir van Marie Vogels sijne tegenwoordige huijsvrouwe. O.a. de helft in een weijvelt genaempt Gijsevelt, gelegen op Varenhout. Heeft hij vercogt aen Jan Lambers van der Heijde.",1719
11627561,"Jan de Rooij transporteert aan Antonij Brok een derde part in een hoijvelt genaamt de Merge sop, geleegen onder Bos en Varrenhout.",1749
11628878,"Transport door Francis van den Oetelaer woonagtig tot Esch, Wouter Smolders man en momboir van Ardina van den Oetelaer woonagtig tot Cromvoirt en Antonet van den Oetelaer meerderjarige jongedochter woonagtig tot Vugt, aen Antonij Geerits van Pinxteren wonende tot Gemonde onder Schijndel. Een huijsinge, hof en aengelag, houtwasse en verdere geregtigheede van dien. Gelegen onder Bersselaer, deen sijde en een eijnde de gemeente, dander sijde Klaes van den Bersselaer, dander eijnde de erffgenamen Jan Clomp.",1772
11629881,"Matijs van Kemenade transporteert aan en ten behoeve van Johannis Willems van der Hagen, o.a. een derde gedeelte onbedeelt in huijsinge, stallinge, schuer, bakhuijs, schop en varkenskooij, hof, teul, hooij, groes, heijlanden en houtwassen, gelegen onder Bosch en Varrenhout in den Hulst. Aan erve het gemeene broek van Sint Oedenrode, Dirk van Oorschot, Willem Jan Gualtheri, de riviere de Dommel en Dorothea Winnefrieda Huijgens. Hem transportant aangecomen bij erffenissevan Maria Hurkx weduwe Cornelis Brox deselvs vrouwe ouders. O.a. chijns aan het boek van Helmond en aan de hoeve Ten Bolk",1797
11636359,"Willem Handrick Demers inwonder alhier aut omtrent 36 jaeren ende Wouter Janssen van Librecht aut 27 jaere mede inwoonder alhier gerichtelijck gedaght sijnde door den vorster alhier ter instantie van Johan Dierck van de Huerck, wonende ende borger der stadt van den Bosch. Verclaeren dat sij deponenten door Gijsbert Janssen van Oirschodt hebben hooren seggen dat hij een vercken opden 16e spetember 1699 gadde vercofft, aende voorschreven van de Huerck requirant in deesen, en dat hetselve vercken aen het huijs van de requirant hadde gestaen was vermindert eert voor en aleer het selve gewoogen was.",1699
11638907,"Taxatie van de naergelatene goederen die welcke Hendrik Hendrix van der Schoot metter doot geruijmpt ende naer gelaten heeft ende is die voorschreven van der Schoot sonder wettige geboorte naer te laten binnen de heerlijck Liempt op den sevende april 1717 is begraven. Marie Huijberts als erfgenaeme van den overledene.",1717
11640528,"Taxatie van goederen, agtergelaten en metter doot ontruijmt bij Helena van Beurde, overleden en begraven binnen deser vrijheijt op den agtste maert 1734. O.a. een parceel teullant. Peeter Teulings mulder alhier als eender erfgename van den overledene.",1734
11641546,"Erfdeling tussen Leendert Kerkhoff, en Martinus Kerkhoff, Willem Lambers der Kinderen gehuwd met Willemijna Kerkhoff, ende Cornelis Zeegers van Aerle in huwelijk hebbende Josijna Kerkhoff, alle kinderen en erfgenamen van Johannes Kerkhoff en Maria Leenders van den Hurk, in leeven echte lieden en inwoonderen alhier. O.a. aan Leendert Kerkhoff een huijs, hof, schuer stallinge bakhuijs en aangelegen landerijen, genaamt Den Oever, geleegen onder Olland en Houtum te Rijsinge aan erve met een sijde de gemeene straat, de andere sijde de kinderen Goort van den Dungen en de rivier De Dommel, het een eijnde Lamberts van der Horst, het andere eijnde den vercrijger van het derde loth. Aan Cornelis Zeegers van Aarle man en momboir van Josina Kerkhoff o.a. de helft in een huijs, schuur, schop, stallinge, hof en aangelag gelegen onder den heertgang Eerd en Everse, aen erve met een seijde de erfgenamen Rut Rijkers, de andere sijde de kinderen Joost van de Laak, het een eijnde Adriaan van de Rijt c. s. het andere eijnd de gemeene straat.",1755
11642748,"Erfdeling tussen Jan, Adriaen, Peeter, Lambert, Johannis en Dirk Versantvoort en Annamaria Versantvoort weduwe van Jan Cluijtmans, alle wonende soo alhier als tot Liempde. Kinderen en erffgenamen van Lambert Versantvoort en Maria Kerkhof. O.a. aan Annamaria Versantvoort weduwe van Jan Cluijtmans, een huijs, hof en aengelag, geleegen onder Olland en Houtum. Aen een sijde de weduwe Adriaen Versantvoort, dander sijde Jan Peeter Steevens, het een eijnde de gemeente, het ander eijnde de Dommel. Aen Peeter Versantvoort een huijs, hof en aengelag, geleegen onder Olland en Houtum. Aen een sijde Joost van de Hijde, dander sijde Willem Sanders, het een eijnde de heer Gualtherie, het ander eijnde de gemeente.",1772
11643769,"Attestatie van Arnoldus Booms, vorster alhier ter requisitie van Gerard de Jong, dewelke verklaard ter requisitie van Gerard de Jong, dat hij bij den verkoop van goederen door Benjamin de Brueijs aanwezig is geweest.",1796
11645277,"Peeter van Wijk inwoonder alhier. Dewelke verklaerde schuldig te sijn aan Jan Claes Sack wonende te Somere, eene capitale somme van twee hondert seven en dertig Carolij guldens. Spruijtende deese schult ter sake van leijen, kalk nagels en andere waeren door voornoemde Jan Claes Sack aan hem comparant van tijt tot tijt gelevert.","22 februarij 1777"
11677492,"Wij, drossaard en schepenen van St. Michielsgestel verklaren dat wij ten behoeve van de collaterale erfgenamen van Paulus Janssen, jongeman die op 31 mei 1679 in Gemonde is overleden, een taxatie hebben gemaakt van het bezit dat door hem in St. Michielsgestel werd nagelaten. De helft van een onverdeelde partij groesland en akkerland samen aan elkaar gelegen, totaal 13 lopenzaad kleine maat, gelegen in de heerlijkheid St. Michielsgestel in de parochie Gemonde, ter plaatse genoemd aan de Caert, b.p. Jan Goijaert Corsten, de Woesterhoeve, Willemken Aerts met meer anderen, het grote gasthuis van Den Bosch met meer anderen, Corst Janssen. Hieruit de helft van 14 en een halve chijnshoen per jaar aan de heer van Herlaer te betalen, elk chijnshoen tegen 5 stuivers, nog de helft van 21 stuivers en 4 penningen als grondchijns in diverse teksten ook aan deze heer van Herlaer, nog de helft van1 /3e part van 11 stuivers grondchijns aan de rentmeester van de domeinen. Boven de lasten getaxeerd op 294 gulden en 10 stuivers, dus voor de helft op 147 gulden en 5 stuivers. De erfgenamen verklaren dat de overledene geen andere bezit had dat aan de 40ste penning is onderworpen en zijn bereid dat onder ede te bevestigen. Aldus getaxeerd te St. Michielsgestel op 30 juni 1679. In marge: Nog de helft van een rente van 6 gulden per jaar aan de St. Jacobskerk, nog de helft van 4 gulden 3 stuivers per jaar aan Marij van Heeswijck.",30-06-1679
11679141,"Bartholt Peters en Jantjen Scholten e.l. vesten Heijmen Heijmans gezworen raadsvriend van Grave en Heijlken Reunis e.l. het huis en erf waarvan de andere helft toebehoort aan de voornoemde Heijmans in de Hoofschestraat op de hoek van de Korte Ridderstraat, achter schietend op het erf van de erfgenamen van Jan vande Veldt en ter zijde naast 't voornoemde Ridderstraatje met geen andere lasten dan uit het hele huis 's heren poortchijns ad 4 stuivers, 3 stuivers geestelijke pacht, een philippusgulden aan dr ter Poorten, aan de Elisabeths broederschap een malder rogge betaald met 30 stuivers verkocht voor eenhonderd gulden. scholtis, schepenen Heuckelhoven en Wassenbergh","3 juni 1670"
11680614,"Catharijna Vinsent met de secretaris als momboir uit kracht van procuratie van haar echtgenoot Joost Scheffers oudluitenant van een compagnie cavellerie gepasseerd te Leeuwarden dd 17 maart 1714 voor de advocaat en procureur J. Elgersma, schepenen gebleken, vest Hendrik de Decquere wonende te ’s-Hertogenbosch het huis en erf in de Rogstraat, aan de ene zijde het erf van wijlen de advocaat de Meijer, aan de andere zijde het erf van Peter Versluijs en voor aan de gemene straat, verkocht voor zestienhonderdvijfenzeventig gulden, waarbij dient te worden afgetrokken een kustingbrief van eenduizend gulden kapitaal en tweehonderdveertig gulden verlopen rente, met wat verder in de koopbrief voor notaris Swart gepasseerd is afgesproken met geen andere lasten dan 's heren poortchijns, de kustingbrief voornoemd ad eenduizendtweehonderdveertig gulden, vijftien stuivers aan het Catharina gasthuis. Scholtis, schepenen Isaacq du Feu en Pieter Vettekeuken. 11 april 1714. in de marge: de 40ste penning 46-11-10 dd 11 april 1714","11 april 1714"
11683157,"Willem Bastiaans uit kracht van procuratie van Geertruij Allegonda Bloemarts zich mede sterkmakende voor haar broer Casper Hendrik Bloemarts voor het gericht te Boxmeer dd 3 mei 1762, schepenen gebleken en ter secretarie geregistreerd, vest Albertus Boerecamp en Anna Jurriens e.l. het huis en erf op de grote Markt naast het erf van de OLV broederschap met geen andere lasten dan 's heren poortchijns verkocht voor twintig gulden, eenenveertig hogen en een ton bier. Substituutscholtis Johan van der Plaat, schepenen J. Des Tombe Mz en P. Smits, Willem Bastiaans. 30 juni 1762. In de marge: koop 151-0-0, de 40ste penning 3-15-8 dd 29 juni 1762","30 juni 1762"
11686115,"Voor de schepenen verschijnen enerzijds Christina van Stippendt weduwe van Jan op Steegh, geassisteerd door schout A. van der Gheest haar gekozen momboor en anderzijds de gezamenlijke kinderen van Bastiaen op Steegh, waarbij Jan op Steegh behalve voor zich ook als oom en momboor optreedt namens de drie onmondige kinderen van Geijsbert Gossens uit diens huwelijk met wijlen Catharina op Steegh. Verder worden deze kinderen ook nog vertegenwoordigd door genoemde Geijsbert Gossens als vader en medemomboor. Tenslotte behoort tot de laatste partij ook nog Joanna Catharina op Steegh, geassisteerd door Thomas Peters. Zij verklaren met instemming van erfdrost De Lauwre als oppermomboor (d.d. 18.06.1750) tot overeenstemming gekomen te zijn over de uitvoering van een testamentaire beschikking geformuleerd op 29 maart 1730 door Jan op Steegh en Christina van Stippendt. Hierbij werd bepaald dat indien de broer van Christina, Joannes van Stippendt, eerder zou overlijden zonder kinderen na te laten, twee percelen land zullen toekomen aan zijn zuster of aan degene(n) die zij bij testament aanwijst. Het gaat hierbij om een weiland in de Weijdt en een weiland genaamd de Voorackers. De gezamenlijke kinderen en de momboors zien af van alle aanspraken op de percelen, temeer omdat de weduwe verklaart nooit de bedoeling te hebben gehad de akkers in alle gevallen aan haar zelf of aan haar familie te laten toekomen. Zij ontslaat de kinderen van Bastiaen Opsteegh van alle verplichtingen en terug te betalen voorschotten. Zij zal, zolang zij leeft, aan Theodorus op Steegh jaarlijks 40 gulden uitkeren voor zijn levensonderhoud. Tenslotte zal zij de opbrengst van twee akkers gekocht van Frans Verhaegh besteden aan H. Missen voor haar eigen zieleheil en dat van haar man zaliger. Het akkoord wordt naast de comparanten mede ondertekend door Bart Voss en Math. op Steegh. Geprotocolleerd: 19.06.1750.",16-06-1750
11691922,"Johanna Prijsraat weduwe van Peter Francis Hermens, geassisteerd met Theodorus Martens en Theodorus Jacobs, als momboiren over haar 2 minderjarige kinderen, bieden aan in openbare verkoop een perceel bouwland, groot 1 mergen bij de windmolen te Cuijk, oost Zijne Hoogheid, west Hendrik Coenen, zuid de Heer Verheijen, noord de gemeene weg. Ingezet door Leenderd Claassen op F 260,--, doet 10 hogen, de Heer Spengler doet 1 hoog, Leenderd Claassen doet 1 hoog, de Heer Spengler doet 1 hoog, habet.",13-12-1774
11696312,"Advies op een rekest van drossaard en schepenen van de vrijheid Waalwijk op het rekest van Antonij van der Assen en Philippus Verhaagen burgemeesters der stad en vrijheid Waalwijk i.v.m. toezicht en beheer van dijken, dammen, straten, wegen en stegen en de bomen, palen, omheiningen etc. ter plaatse [lange akte].",12-4-1742
11752327,"Onderzoek van een missive van de raad en rentmeester generaal der domeinen i.v.m. het leggen van twee dammen in de Dieze tot vernieuwing van de stenen brug of boog in de Markt of Tolbrugstraat te ’s-Hertogenbsoch en het afpalen van dezelfde straat door Martinus Zoewijn als aannemer van het vernieuwen van de genoemde brug of boog [lange akte met nadere details].",19-10-1764
11753330,"Kwestie die speelt te Boxtel i.v.m. hun pastorie en het verzoek van de predikant om een bekwame woning.",29-9-1786
11768517,"Lamert Santvoort en Jacoba van der Wielen e.l.; Jan van der Wielen en Theodora van Leukern e.l.; Hendrik Boerkamp als momboir over minderjarige kinderen van Albertus Boercamp en Anna Jurriens in leven e.l.; Thomas Waron en Helena van der Wielen e.l.; Peter van der Wielen, meerderjarige j.m.; Peter Jansen en Johanna van der Wielen e.l.; Anna Maria Heinen weduwe Rudolph van der Wielen en tenslotte Pieter van der Wielen als momboir over Johannes Claus, Margaretha Claus en Maria Claus, minderjarige nagelaten kinderen van Willem Claus en Petronella van der Wielen met consent van Subst.Ambtman van land van Cuyk betreffende de minderjarige Johannes, Margaretha en Maria Claus, verleend de 3-2-1787, die hebben verkocht aan Hendricus van Haaren en Maria de Vinck e.l.: een morgen hooi-of weiland in een kamp van 4 morgen, genaamd het Kruijsken onder het dorp Linden, vrij allodiaal erf.",01-05-1787
11773101,"Cornelia Barten weduwe van Wemmer Aerts in leven schepen met de notaris als momboir transporteert aan Anna de Decquere eerder gehuwd met wijlen haar [eerste comparantes] zoon Arnoldus Aerts en nur hertrouwd met de kapitein Hagendorn twee obligaties de een van duizend en de ander van vierhonderd gulden ten laste van vrouw Decquere moeder van de tweede comparante zulks ter voldoening van alle pretenties van de tweede comparante m.u.v. het recht van deze tweede comparante op zeker stuk land onder Nederasselt genaamd de Steen [doorgehaald: hoven]; de tweede comparante met haar broer Willem de Decquere bij afwezigheid van haar echtgenoot als momboir belooft aan de eerste comparante haar leven lang vijf percent rente over deze obligaties te zullen betalen. Getuigen Arnoldus Cornelissen Ommelingh [tekent zelf Omelingh] schepen en Anthoni Hendricx",31-10-1693
11778771,"Gerit soen wilneer Lambert Delissoen heeft opgedragen en overgegeven aan Herman Hanricss van Ecker 'een stuck lants', gelegen in Veghel, ter plaatse genoemd Davelair, genoemd der Hosteyken, aan alle zijde grenzend aan 'die gemeynt van Vechel'. Voornoemde Gerit heeft dit goed vernaarderd van de weduwen wilneer Peter Willem Geeritssoen. Het goed is belast met jaarlijks een cijns van 3 oort stuivers, te betalen aan 'den naebueren van Vechel'. Getuigen: Gerit Thys en Dries van Horck.",03-05-1530
